id,titulo,empresa,ciudad,modalidad,experiencia,lenguajes,salario,tipo_contrato,fecha_publicacion,vacantes
1159,Data Analyst,Bancolombia,Cali,Hibrido,Junior,"R, JavaScript, Azure, Docker, Tableau, Pandas",4138435.0,Freelance,2025-03-21,10
1160,Machine Learning Engineer,DataSoft,bogota,Híbrido,junior,"AWS, JavaScript",3070896.0,Contrato,2025-05-18,9
1161,Frontend Developer,Rappi,Medellín,Hibrido,Semi-Senior,"SQL, Power BI",5359622.0,Freelance,2025-07-27,3
1162,Software Developer,Sura,Bucaramanga,Presencial,Semi-Senior,"Node.js, Power BI, R, Java, Azure",4528071.0,Indefinido,2025-02-16,6
1163,Full Stack Developer,InnovaTech,bogota,Híbrido,semi senior,"Java, Azure, Power BI, Tableau, TensorFlow",4178165.0,Temporal,2026-02-10,7
1164,Data Scientist,Accenture,Remoto,remoto,Senior,"AWS, Tableau, Pandas, Excel",,Contrato,2025-04-27,4
1165,Data Scientist,Teleperformance,Remoto,Remoto,Junior,"React, Docker, Node.js",2808662.0,Freelance,2025-05-14,10
1166,Ingeniero de Datos,Claro,medellin,Híbrido,Semi-Senior,"Pandas, SQL, R, Python, React",5615573.0,Temporal,2024-06-10,8
1167,Frontend Developer,Davivienda,Cali,Presencial,Senior,"Excel, Tableau, TensorFlow",8812117.0,Indefinido,2024-10-04,1
1168,Backend Developer,IBM,medellin,Remoto,Semi-Senior,"Java, Pandas, React, Tableau, Docker",4945188.0,indefinido,2025-02-10,6
1169,Data Analyst,TechNova,Remoto,Hibrido,Semi-Senior,"Python, TensorFlow",5831191.0,Contrato,2025-12-21,7
1170,Software Developer,TechNova,medellin,Remoto,Junior,"Docker, TensorFlow, Node.js, SQL",2515008.0,Contrato,2026-03-26,8
1171,Ingeniero de Datos,DataSoft,medellin,remoto,Junior,"Azure, Docker, TensorFlow, Python, R",3731993.0,Contrato,2025-09-30,2
1172,Backend Developer,Davivienda,Remoto,Presencial,Junior,"AWS, Azure, React, SQL",4442035.0,Temporal,2025-10-18,4
1173,Data Scientist,IBM,bogota,Híbrido,junior,"R, Pandas",3309090.0,Freelance,2024-07-04,6
1174,Software Developer,Sura,Bogotá,Híbrido,Senior,"AWS, Tableau, TensorFlow, JavaScript",8970365.0,Temporal,2025-07-24,9
1175,Full Stack Developer,DataSoft,Cali,Hibrido,Senior,"React, R, TensorFlow, JavaScript",,Freelance,2024-08-31,8
1176,Backend Developer,Bancolombia,Cartagena,remoto,junior,"TensorFlow, AWS, Docker",2500780.0,Freelance,2024-08-13,4
1177,Machine Learning Engineer,DataSoft,medellin,remoto,Junior,"JavaScript, Excel, React, Python, Docker, R",3711754.0,Contrato,2026-05-06,10
1178,Analista de Datos,Claro,Bucaramanga,remoto,Semi-Senior,"React, Azure, Node.js",5414593.0,Contrato,2025-06-22,3
1179,Analista de Datos,Rappi,Cartagena,Híbrido,semi senior,"Docker, Power BI, Python, Pandas, SQL",5026952.0,Temporal,2025-07-20,3
1180,Analista de Datos,IBM,bogota,Hibrido,Senior,"Pandas, Java",9536857.0,Indefinido,2026-01-18,9
1181,Data Scientist,Davivienda,medellin,Remoto,Semi-Senior,"Pandas, Python, Power BI, Docker",4956884.0,Freelance,2026-04-28,9
1182,Machine Learning Engineer,Rappi,Barranquilla,Presencial,semi senior,"Azure, SQL, AWS, Python, Tableau, React",5406872.0,Temporal,2025-04-22,4
1183,Full Stack Developer,Mercado Libre,Barranquilla,Remoto,Semi-Senior,"Excel, Python, React, JavaScript, Node.js",5403913.0,Temporal,2025-04-19,9
1184,Software Developer,IBM,bogota,Remoto,Senior,"Java, React, AWS",,indefinido,2026-03-17,1
1185,Data Scientist,IBM,Medellín,remoto,Senior,"Java, Tableau",9458987.0,Temporal,2024-08-28,2
1186,Data Scientist,DataSoft,bogota,Híbrido,semi senior,"Tableau, JavaScript, React, Python, AWS, Power BI",5348459.0,indefinido,2025-09-22,10
1187,BI Analyst,TechNova,Cali,Presencial,junior,"AWS, Power BI, React, JavaScript",3393445.0,indefinido,2026-04-22,8
1188,Analista de Datos,Sura,medellin,Hibrido,semi senior,"JavaScript, Azure, Node.js, Java",5461793.0,Freelance,2025-12-04,8
1189,Machine Learning Engineer,IBM,bogota,Híbrido,Junior,"Tableau, Python, R",4482347.0,Temporal,2024-11-12,2
1190,BI Analyst,Davivienda,medellin,Híbrido,junior,"Docker, Azure",2416036.0,Temporal,2024-06-14,2
1191,Full Stack Developer,Teleperformance,Barranquilla,Hibrido,Semi-Senior,"JavaScript, R, AWS, Node.js, Tableau, SQL",5680346.0,Temporal,2025-04-30,6
1192,Backend Developer,Davivienda,medellin,remoto,Semi-Senior,"AWS, Excel, Azure, React, Pandas",5093392.0,indefinido,2025-10-30,7
1193,Backend Developer,Sura,Bucaramanga,Presencial,Senior,"Tableau, Azure, JavaScript, R",8228988.0,Freelance,2025-06-08,8
1194,Ingeniero de Datos,Davivienda,Cali,remoto,Senior,"AWS, Power BI, Python, Azure, Docker",7980553.0,Freelance,2024-05-30,1
1195,Analista de Datos,Accenture,Remoto,Presencial,Semi-Senior,"JavaScript, Azure, R, Python",4860696.0,indefinido,2025-01-12,9
1196,Backend Developer,Davivienda,bogota,Hibrido,Semi-Senior,"Node.js, Tableau, JavaScript, SQL, TensorFlow, Java",6716430.0,Contrato,2024-06-02,1
1197,Data Analyst,Mercado Libre,Bogotá,Presencial,junior,"Java, JavaScript, React, AWS, Power BI",2499983.0,Freelance,2024-07-20,9
1198,Data Scientist,Davivienda,Remoto,Híbrido,Senior,"SQL, Tableau, Excel, TensorFlow",10290706.0,Temporal,2024-08-08,10
1199,Full Stack Developer,Claro,medellin,Presencial,Senior,"SQL, Tableau, Java, R, React, Node.js",8991902.0,Indefinido,2025-05-30,3
1200,Frontend Developer,Bancolombia,Bucaramanga,remoto,Junior,"Azure, R, AWS, Tableau",3159920.0,Temporal,2025-06-26,8
1201,Backend Developer,Mercado Libre,Remoto,remoto,Senior,"JavaScript, React, TensorFlow, Python",10292118.0,Contrato,2024-06-06,8
1202,Analista de Datos,Globant,Remoto,Remoto,Junior,"Docker, Node.js",4120836.0,indefinido,2025-09-13,6
1203,Data Scientist,Claro,Medellín,Hibrido,semi senior,"R, Pandas, SQL, TensorFlow, AWS, React",6002575.0,Temporal,2026-03-29,9
1204,Ingeniero de Datos,InnovaTech,Cartagena,remoto,Junior,"React, Pandas, Java, SQL, Azure",4517349.0,Contrato,2026-01-02,3
1205,Ingeniero de Datos,Teleperformance,Cartagena,Remoto,Senior,"R, Tableau, Node.js, TensorFlow, Power BI, Python",,indefinido,2026-01-16,7
1206,Software Developer,TechNova,Bucaramanga,Hibrido,Junior,"Power BI, Excel, JavaScript, Java",,Contrato,2025-10-26,4
1207,Backend Developer,Mercado Libre,Bogotá,Hibrido,semi senior,"Excel, Java, AWS, Docker, Azure, JavaScript",4517912.0,indefinido,2024-10-23,1
1208,Analista de Datos,Rappi,Barranquilla,Híbrido,Semi-Senior,"R, Azure",5075435.0,Freelance,2024-10-08,3
1209,Analista de Datos,Globant,Cali,remoto,junior,"Docker, Java, AWS",3974606.0,Indefinido,2025-08-19,7
1210,BI Analyst,Accenture,Barranquilla,Híbrido,Junior,"Power BI, Python, Tableau",3660473.0,Contrato,2026-02-10,10
1211,Machine Learning Engineer,Mercado Libre,Cali,Híbrido,Junior,"Node.js, React, TensorFlow",3664718.0,Indefinido,2024-10-21,8
1212,Machine Learning Engineer,Davivienda,bogota,Presencial,semi senior,"Power BI, Java, Azure, SQL",4745439.0,indefinido,2024-06-02,2
1213,Analista de Datos,Sura,Medellín,remoto,junior,"AWS, Power BI, Azure, SQL, R",,Freelance,2025-11-27,4
1214,Analista de Datos,Globant,Cali,Híbrido,Junior,"Docker, Tableau, Python, JavaScript, Pandas",3702575.0,Temporal,2025-11-28,10
1215,Data Analyst,Globant,Barranquilla,Presencial,Junior,"Excel, TensorFlow, Tableau",4005350.0,Freelance,2025-04-02,10
1216,Backend Developer,Davivienda,Medellín,Híbrido,junior,"Excel, Docker, Node.js, Azure, Pandas",3217616.0,Indefinido,2025-04-09,8
1217,Analista de Datos,Globant,Bogotá,Presencial,Semi-Senior,"Docker, Azure, JavaScript, React",4912121.0,Indefinido,2025-05-16,8
1218,Machine Learning Engineer,Accenture,medellin,Híbrido,Junior,"Docker, Power BI, Python",4515572.0,Temporal,2025-03-20,2
1219,Data Scientist,IBM,bogota,remoto,Junior,"SQL, Power BI, Docker",4478837.0,indefinido,2025-01-24,8
1220,BI Analyst,Sura,Cali,Presencial,Semi-Senior,"JavaScript, Tableau",6229465.0,indefinido,2025-03-04,6
1221,Software Developer,Rappi,Cali,Híbrido,semi senior,"Tableau, Docker",5324102.0,indefinido,2024-09-05,3
1222,Ingeniero de Datos,Sura,Medellín,Híbrido,Semi-Senior,"TensorFlow, SQL",6041134.0,Temporal,2025-06-28,5
1223,Software Developer,Claro,medellin,Hibrido,Semi-Senior,"R, TensorFlow, Tableau, Pandas",4964180.0,Freelance,2026-04-27,3
1224,Ingeniero de Datos,TechNova,Bogotá,Híbrido,Senior,"React, TensorFlow, Python",10183366.0,Temporal,2025-01-08,1
1225,Data Analyst,Teleperformance,bogota,remoto,Semi-Senior,"Excel, Power BI, R",6335848.0,Freelance,2026-01-29,4
1226,Machine Learning Engineer,IBM,Medellín,Presencial,semi senior,"Tableau, React, JavaScript",4728626.0,indefinido,2025-04-22,6
1227,BI Analyst,CodeLab,medellin,remoto,Senior,"JavaScript, R, AWS",10239855.0,Indefinido,2025-11-03,6
1228,Backend Developer,Mercado Libre,Barranquilla,remoto,semi senior,"Power BI, Pandas, Python, Node.js",4004615.0,Indefinido,2025-10-29,2
1229,BI Analyst,Accenture,medellin,Remoto,semi senior,"Azure, R, JavaScript",5325233.0,indefinido,2025-10-23,3
1230,Analista de Datos,Claro,Cali,Hibrido,junior,"Java, Excel, Pandas, Docker, Python, TensorFlow",3603740.0,indefinido,2025-05-12,9
1231,Backend Developer,Davivienda,Cali,Remoto,Junior,"Node.js, Java, TensorFlow, Docker",4597105.0,Temporal,2024-08-29,10
1232,Frontend Developer,Sura,Bogotá,remoto,Semi-Senior,"Node.js, React, Power BI",5138003.0,Freelance,2025-03-02,7
1233,Data Analyst,Mercado Libre,Cartagena,Hibrido,semi senior,"Tableau, R, Excel, TensorFlow, JavaScript",4081570.0,Freelance,2024-06-07,4
1234,Ingeniero de Datos,Bancolombia,Cali,remoto,semi senior,"Python, AWS",3866150.0,Temporal,2025-05-10,4
1235,Data Scientist,Rappi,Cartagena,Híbrido,junior,"Power BI, React, Java, AWS, R",4234206.0,Contrato,2025-06-10,2
1236,Full Stack Developer,CodeLab,Bucaramanga,Remoto,semi senior,"Java, Tableau, Excel",5687383.0,Indefinido,2025-05-22,9
1237,Machine Learning Engineer,DataSoft,bogota,Híbrido,Senior,"Tableau, Java, Pandas, Docker, JavaScript, SQL",10018978.0,Indefinido,2024-08-02,6
1238,Full Stack Developer,Mercado Libre,bogota,remoto,Senior,"Power BI, Azure",8359723.0,indefinido,2024-09-14,3
1239,Software Developer,Teleperformance,Bucaramanga,Híbrido,junior,"Node.js, SQL, Azure",3731451.0,Contrato,2026-04-07,7
1240,Full Stack Developer,InnovaTech,Cartagena,Presencial,junior,"Azure, AWS",,indefinido,2024-05-29,6
1241,BI Analyst,Rappi,bogota,Híbrido,junior,"R, SQL, Python, Azure",1934055.0,indefinido,2025-06-02,7
1242,Machine Learning Engineer,InnovaTech,Remoto,Remoto,Senior,"Node.js, React, Azure, Power BI, AWS",8476022.0,indefinido,2024-12-28,2
1243,Data Scientist,CodeLab,Barranquilla,Presencial,semi senior,"React, SQL",4609942.0,indefinido,2025-08-21,10
1244,BI Analyst,InnovaTech,bogota,Hibrido,junior,"R, Pandas",2496358.0,indefinido,2024-12-06,1
1245,Data Analyst,TechNova,Bucaramanga,Remoto,junior,"Pandas, Python, Java, React, Excel",2942647.0,Freelance,2024-07-14,7
1246,Analista de Datos,Rappi,Cartagena,remoto,Junior,"R, Azure, Pandas, Docker",3941648.0,Indefinido,2024-07-22,6
1247,Machine Learning Engineer,CodeLab,medellin,Presencial,junior,"AWS, Docker, Excel, Java",3155267.0,Contrato,2024-07-13,6
1248,Software Developer,Claro,Barranquilla,Presencial,Semi-Senior,"R, Docker",6543541.0,Freelance,2025-04-16,2
1249,Ingeniero de Datos,Rappi,Cartagena,remoto,Junior,"React, Tableau, Pandas, Excel",3788472.0,Freelance,2025-01-02,6
1250,Data Scientist,Rappi,Cartagena,Hibrido,junior,"Excel, R, Python",4166860.0,indefinido,2024-08-19,5
1251,Data Scientist,DataSoft,Remoto,Presencial,semi senior,"React, TensorFlow, SQL, Java, AWS",4811727.0,Temporal,2025-12-04,6
1252,Full Stack Developer,Teleperformance,Medellín,Presencial,semi senior,"Docker, Power BI, SQL",4054444.0,Temporal,2025-10-15,8
1253,BI Analyst,Rappi,Barranquilla,Híbrido,Junior,"Pandas, JavaScript, Python",4408989.0,Temporal,2025-09-08,8
1254,BI Analyst,Accenture,medellin,Hibrido,Semi-Senior,"Java, Python, React, Tableau",6507169.0,indefinido,2026-02-27,4
1255,Analista de Datos,CodeLab,Cartagena,remoto,junior,"React, Power BI, Pandas, Docker, Azure, JavaScript",1923618.0,Freelance,2025-07-18,6
1256,Frontend Developer,CodeLab,medellin,Hibrido,Semi-Senior,"SQL, TensorFlow, Excel, R",4759297.0,Temporal,2026-03-23,2
1257,Machine Learning Engineer,InnovaTech,Barranquilla,remoto,semi senior,"R, SQL, AWS, React, Java, Docker",4820154.0,Freelance,2026-01-28,10
1258,Data Analyst,Claro,bogota,Hibrido,Junior,"Tableau, React, Power BI, SQL, Excel",2850865.0,Indefinido,2025-10-20,6
1259,Data Scientist,DataSoft,Cartagena,Hibrido,junior,"SQL, Pandas, R",2340659.0,Freelance,2024-11-08,1
1260,BI Analyst,Sura,medellin,Presencial,semi senior,"Power BI, Java, Pandas",6221212.0,Freelance,2025-08-31,4
1261,Analista de Datos,InnovaTech,Bogotá,Hibrido,semi senior,"Power BI, Excel, AWS, Node.js, Pandas, React",5893373.0,Indefinido,2025-07-29,6
1262,Machine Learning Engineer,Accenture,Cali,Híbrido,semi senior,"React, SQL",5446836.0,Temporal,2026-05-08,10
1263,Data Scientist,Davivienda,Medellín,Remoto,Semi-Senior,"Pandas, Tableau",5541835.0,Contrato,2026-04-30,10
1264,Data Scientist,Sura,Bucaramanga,Híbrido,junior,"TensorFlow, Tableau, Excel, R, AWS",4172280.0,Contrato,2025-07-06,5
1265,Data Scientist,Davivienda,bogota,Remoto,junior,"Power BI, Java, Azure, R",2670123.0,indefinido,2025-09-18,5
1266,Analista de Datos,Mercado Libre,Cali,Remoto,Junior,"Node.js, Python",3959582.0,indefinido,2025-06-11,1
1267,Analista de Datos,InnovaTech,Medellín,Híbrido,Junior,"Python, AWS, React, Azure",4069510.0,Temporal,2025-01-25,10
1268,Backend Developer,Teleperformance,Bucaramanga,Hibrido,junior,"R, SQL, Pandas",2050195.0,Temporal,2025-09-30,8
1269,Full Stack Developer,Sura,Medellín,Presencial,Semi-Senior,"Python, React, Docker, Node.js, SQL",5492324.0,Temporal,2024-05-17,10
1270,Software Developer,Bancolombia,Bucaramanga,remoto,semi senior,"Tableau, Java",5929885.0,indefinido,2026-03-16,7
1271,BI Analyst,Rappi,Remoto,Remoto,junior,"SQL, R, Java, Azure, Excel, AWS",3589616.0,Freelance,2024-10-20,1
1272,Machine Learning Engineer,Teleperformance,medellin,Hibrido,junior,"SQL, Azure, Node.js, Docker, Pandas, R",2326338.0,Contrato,2024-11-23,9
1273,Full Stack Developer,TechNova,Remoto,remoto,Semi-Senior,"Tableau, AWS, Java",6507148.0,Contrato,2025-05-11,7
1274,Ingeniero de Datos,Sura,bogota,Presencial,Junior,"SQL, R, Node.js, Tableau, React",2658221.0,Indefinido,2025-04-11,9
1275,Software Developer,Claro,Cali,Presencial,Junior,"JavaScript, React",2649239.0,Indefinido,2024-11-13,9
1276,Data Analyst,InnovaTech,Remoto,Hibrido,Junior,"Power BI, Java, R, Node.js",,indefinido,2024-06-26,3
1277,Data Scientist,IBM,Cali,Híbrido,semi senior,"Docker, Java",5014449.0,Freelance,2024-11-21,2
1278,Data Scientist,Sura,Bogotá,Híbrido,Semi-Senior,"Pandas, React, Python, AWS, Power BI, Java",6059555.0,Freelance,2024-12-29,3
1279,Backend Developer,Bancolombia,Barranquilla,Hibrido,junior,"Docker, Azure, Power BI, Python",2699005.0,Freelance,2025-07-21,7
1280,Ingeniero de Datos,DataSoft,Bogotá,remoto,semi senior,"Java, Pandas, TensorFlow, JavaScript",4836580.0,Contrato,2024-07-20,7
1281,Full Stack Developer,Teleperformance,Bogotá,remoto,Senior,"Azure, AWS, Tableau",8233816.0,Indefinido,2026-04-23,8
1282,Data Scientist,Bancolombia,bogota,Remoto,Semi-Senior,"SQL, Pandas, Docker",5570464.0,Temporal,2026-02-21,9
1283,Full Stack Developer,Claro,Cartagena,Presencial,Senior,"Pandas, TensorFlow, Azure, Power BI",8585332.0,indefinido,2025-05-23,5
1284,Frontend Developer,Bancolombia,medellin,Remoto,Junior,"Azure, Java, SQL, Node.js, Tableau",3894029.0,Contrato,2024-11-27,8
1285,Backend Developer,Mercado Libre,Medellín,Híbrido,Junior,"Azure, Power BI",2867950.0,Contrato,2025-12-09,10
1286,Data Analyst,TechNova,medellin,Híbrido,Senior,"Tableau, React, AWS",7966472.0,Temporal,2025-08-09,6
1287,Backend Developer,Davivienda,bogota,Híbrido,Junior,"R, Azure, JavaScript",2497710.0,Indefinido,2025-11-07,7
1288,Frontend Developer,Davivienda,bogota,Remoto,junior,"Node.js, SQL, Java, Excel",4108912.0,Contrato,2025-05-23,2
1289,Analista de Datos,Globant,Medellín,Remoto,Semi-Senior,"Node.js, Excel, Azure, Docker",4422744.0,Contrato,2026-02-06,9
1290,Data Analyst,Bancolombia,Medellín,Híbrido,semi senior,"TensorFlow, R, Azure",,Indefinido,2025-08-09,7
1291,Data Analyst,Teleperformance,medellin,Remoto,Junior,"AWS, React, SQL, Java, Pandas",4163499.0,Indefinido,2024-12-09,8
1292,Frontend Developer,TechNova,bogota,Hibrido,semi senior,"Pandas, React, Power BI, Tableau",5350522.0,Freelance,2025-12-11,6
1293,Frontend Developer,Bancolombia,Cartagena,Híbrido,junior,"Tableau, Node.js, R",2391652.0,Contrato,2026-01-30,5
1294,Full Stack Developer,Bancolombia,Bogotá,remoto,Semi-Senior,"Power BI, AWS",5211420.0,Contrato,2026-03-12,9
1295,Frontend Developer,Accenture,Remoto,remoto,Semi-Senior,"Azure, Pandas, R",5131460.0,Contrato,2024-07-31,8
1296,Backend Developer,DataSoft,medellin,Híbrido,junior,"R, Docker, Azure, Pandas, Power BI",4135658.0,Temporal,2026-03-23,4
1297,Frontend Developer,Accenture,Cali,remoto,Semi-Senior,"R, Tableau, Node.js, Power BI, Docker, JavaScript",5210775.0,Indefinido,2025-05-23,9
1298,Backend Developer,TechNova,Remoto,Hibrido,junior,"Power BI, Python, Java, AWS, R, Node.js",3560574.0,Contrato,2024-08-06,3
1299,Backend Developer,Sura,Cali,remoto,junior,"Power BI, React, Pandas",,indefinido,2026-02-22,4
1300,Analista de Datos,Teleperformance,medellin,Remoto,Semi-Senior,"Java, Azure, TensorFlow, Excel, Tableau",5212727.0,Indefinido,2026-04-25,2
1301,Data Scientist,Davivienda,Bucaramanga,Híbrido,Junior,"R, Azure",,Temporal,2024-07-01,4
1302,BI Analyst,Davivienda,Cali,Presencial,Senior,"React, R, Docker, Tableau",8358924.0,Freelance,2025-05-17,2
1303,Machine Learning Engineer,Teleperformance,Remoto,Híbrido,semi senior,"Excel, Power BI, SQL",3979352.0,indefinido,2025-05-09,9
1304,Backend Developer,IBM,Medellín,Remoto,junior,"TensorFlow, Azure, Java, SQL",2610694.0,Temporal,2025-09-03,7
1305,Analista de Datos,IBM,Cali,remoto,junior,"AWS, Python, React",4090435.0,Indefinido,2024-11-11,8
1306,Backend Developer,Teleperformance,Cartagena,remoto,semi senior,"SQL, R, Docker, Excel",4772346.0,Temporal,2024-11-18,2
1307,Analista de Datos,Teleperformance,bogota,Remoto,Semi-Senior,"JavaScript, TensorFlow, AWS, SQL",5215015.0,indefinido,2025-05-21,10
1308,Full Stack Developer,Claro,Bogotá,remoto,junior,"Azure, JavaScript, Java, Node.js",3298771.0,Freelance,2024-09-10,3
1309,Data Analyst,Sura,bogota,Remoto,Junior,"JavaScript, Tableau, Power BI, R",3098974.0,Freelance,2025-02-22,9
1310,Frontend Developer,IBM,Remoto,remoto,Junior,"Python, TensorFlow, React, Docker, JavaScript, Power BI",2531413.0,Indefinido,2025-02-15,5
1311,Analista de Datos,DataSoft,Cartagena,Hibrido,junior,"Azure, AWS, Power BI, Docker, R, Excel",3152564.0,Temporal,2025-12-17,8
1312,Machine Learning Engineer,Mercado Libre,Bogotá,Híbrido,Senior,"Docker, Pandas, SQL, Azure, R",10224050.0,Indefinido,2025-02-01,4
1313,Frontend Developer,CodeLab,Medellín,Remoto,Junior,"Excel, React",3051661.0,Indefinido,2025-07-16,1
1314,Data Scientist,Teleperformance,Medellín,Remoto,Senior,"SQL, Excel, React, Pandas, Tableau, R",8663561.0,Temporal,2026-04-14,4
1315,Frontend Developer,Rappi,Bogotá,Remoto,Junior,"Python, Power BI",2402186.0,Contrato,2024-07-21,6
1316,Backend Developer,IBM,Cartagena,Hibrido,semi senior,"TensorFlow, Tableau, React",5095160.0,Indefinido,2025-07-17,8
1317,Full Stack Developer,Bancolombia,medellin,Hibrido,Semi-Senior,"Excel, Java",5326553.0,Temporal,2025-02-03,2
1318,Software Developer,Sura,Remoto,Hibrido,Junior,"AWS, Java, Excel, Power BI",3335202.0,Freelance,2026-04-01,4
1319,Full Stack Developer,Sura,Cali,Remoto,junior,"TensorFlow, Java, Node.js, Python",1945271.0,Indefinido,2025-04-26,2
1320,Ingeniero de Datos,Mercado Libre,bogota,Remoto,junior,"React, AWS",4015685.0,Indefinido,2024-08-12,6
1321,Data Scientist,Teleperformance,Cartagena,Presencial,semi senior,"TensorFlow, Pandas, React, Azure",4768452.0,Contrato,2024-06-21,6
1322,Frontend Developer,Rappi,Cali,Remoto,junior,"AWS, Tableau, R, Node.js",3314542.0,Freelance,2024-08-23,7
1323,BI Analyst,IBM,Cali,Híbrido,junior,"Docker, AWS, Power BI, Tableau",3963414.0,Contrato,2024-06-25,7
1324,Ingeniero de Datos,Davivienda,Bogotá,remoto,Junior,"Power BI, Azure, Pandas, Excel",2176898.0,Temporal,2026-04-02,3
1325,BI Analyst,Bancolombia,Cartagena,Presencial,semi senior,"SQL, Python, Power BI",4088316.0,Temporal,2025-01-30,1
1326,Frontend Developer,Rappi,bogota,Hibrido,junior,"Azure, Docker, Node.js, JavaScript",3808954.0,Contrato,2024-07-28,7
1327,Analista de Datos,Mercado Libre,Medellín,Presencial,junior,"Tableau, Pandas, Python",3629553.0,Contrato,2026-01-23,10
1328,Full Stack Developer,TechNova,Cali,Presencial,Senior,"Tableau, AWS, Java, Power BI, Docker, Python",8839504.0,Freelance,2024-09-08,10
1329,Analista de Datos,Teleperformance,bogota,Remoto,junior,"Excel, Node.js, JavaScript, R, TensorFlow, Docker",4272151.0,Indefinido,2024-10-07,8
1330,Analista de Datos,TechNova,bogota,Presencial,Senior,"R, TensorFlow, Java",9532767.0,indefinido,2025-09-10,6
1331,Software Developer,Rappi,Barranquilla,Híbrido,semi senior,"Docker, Excel, R",5905058.0,Contrato,2026-01-15,10
1332,Software Developer,Davivienda,Medellín,Hibrido,junior,"Node.js, SQL, Power BI, Excel",2593719.0,Contrato,2025-06-27,8
1333,Full Stack Developer,DataSoft,Cali,Presencial,semi senior,"SQL, Tableau, Power BI, Java",4515080.0,Indefinido,2024-12-09,8
1334,Software Developer,IBM,medellin,Híbrido,Semi-Senior,"R, Docker",5975843.0,Freelance,2025-08-06,6
1335,Software Developer,Mercado Libre,Cartagena,Remoto,junior,"Docker, Node.js, Java, Pandas, AWS, React",1834701.0,Temporal,2025-10-22,9
1336,Frontend Developer,Bancolombia,Cartagena,Remoto,semi senior,"Power BI, TensorFlow, Python, JavaScript, Azure",5521610.0,Indefinido,2025-12-20,7
1337,Machine Learning Engineer,Bancolombia,bogota,Presencial,Junior,"Tableau, Pandas, Power BI",4280712.0,Indefinido,2026-01-08,5
1338,Data Analyst,Mercado Libre,Bogotá,Presencial,junior,"Tableau, JavaScript, Excel, React, AWS, R",4139767.0,indefinido,2025-12-02,8
1339,Analista de Datos,Accenture,Cali,Presencial,Senior,"Node.js, Python, Pandas, Power BI, AWS",9940794.0,indefinido,2025-03-14,1
1340,Data Scientist,Mercado Libre,Cali,Híbrido,Senior,"Python, Node.js, Docker, TensorFlow, Excel, Tableau",8291036.0,Indefinido,2025-01-27,9
1341,Analista de Datos,Davivienda,Medellín,remoto,Semi-Senior,"SQL, AWS, R",4627304.0,Freelance,2024-06-01,2
1342,Ingeniero de Datos,DataSoft,Cali,Hibrido,junior,"Node.js, Power BI",3652610.0,Indefinido,2025-07-10,4
1343,Machine Learning Engineer,Globant,Bogotá,Híbrido,junior,"Java, Docker, Python, Pandas",4262616.0,Contrato,2025-07-31,1
1344,Machine Learning Engineer,Davivienda,Bucaramanga,remoto,Junior,"Excel, Azure, Docker",3242953.0,Contrato,2024-12-06,1
1345,Machine Learning Engineer,Mercado Libre,Bogotá,Híbrido,semi senior,"Python, Pandas, TensorFlow, AWS, Power BI",4126916.0,indefinido,2026-02-02,1
1346,Analista de Datos,Claro,Cali,remoto,Semi-Senior,"Python, R, TensorFlow, SQL, React",4612250.0,Temporal,2025-01-22,3
1347,Backend Developer,InnovaTech,Barranquilla,Hibrido,semi senior,"JavaScript, Docker, Node.js, R, AWS, Power BI",,Freelance,2025-02-25,6
1348,BI Analyst,Globant,bogota,Hibrido,Semi-Senior,"Power BI, SQL, Pandas, JavaScript",5374135.0,indefinido,2024-06-26,7
1349,Data Scientist,DataSoft,Barranquilla,Híbrido,Semi-Senior,"Power BI, AWS",5156101.0,indefinido,2026-01-25,5
1350,Frontend Developer,Teleperformance,Cartagena,Híbrido,Semi-Senior,"R, Tableau, Python, Pandas",6025690.0,indefinido,2026-03-04,1
1351,BI Analyst,DataSoft,Remoto,Presencial,Senior,"Azure, R, Java",,Contrato,2025-05-31,7
1352,Frontend Developer,Mercado Libre,Medellín,Remoto,semi senior,"Tableau, Node.js, React, JavaScript, Pandas",4692964.0,Indefinido,2024-09-15,10
1353,Ingeniero de Datos,DataSoft,Cali,Remoto,Junior,"Docker, Python, JavaScript, Tableau",4061275.0,Indefinido,2025-10-25,6
1354,Data Analyst,Sura,Bogotá,Remoto,Semi-Senior,"TensorFlow, R, SQL, JavaScript, Power BI",4703119.0,Freelance,2025-11-10,3
1355,Data Analyst,IBM,Cali,Remoto,Senior,"SQL, Pandas, TensorFlow",8935564.0,Indefinido,2024-11-01,2
1356,BI Analyst,Mercado Libre,Cali,Híbrido,Semi-Senior,"TensorFlow, Node.js, JavaScript, AWS, Python, React",4425991.0,Indefinido,2025-11-17,7
1357,Data Analyst,Teleperformance,Bogotá,Remoto,junior,"Power BI, Azure, Tableau, Docker, Excel",,Freelance,2025-07-07,5
1358,Frontend Developer,DataSoft,bogota,Remoto,junior,"Python, Pandas, JavaScript, Java",2306079.0,Indefinido,2026-04-11,10
1359,Full Stack Developer,Davivienda,Medellín,Hibrido,junior,"AWS, Java, TensorFlow, Docker, Python",3750013.0,Freelance,2025-06-05,8
1360,Machine Learning Engineer,Bancolombia,Bucaramanga,Presencial,junior,"Pandas, R, TensorFlow, Node.js",2932658.0,Contrato,2026-04-26,3
